Date,Open,High,Low,Close,Adj Close,Volume
2014-03-01,148.750000,148.750000,148.750000,148.750000,134.243073,0
2014-04-01,148.750000,148.750000,148.750000,148.750000,134.243073,0
2014-05-01,148.750000,148.750000,148.750000,148.750000,134.243073,0
2014-06-01,148.750000,148.750000,148.750000,148.750000,134.243073,0
2014-07-01,148.750000,148.750000,148.750000,148.750000,134.243073,0
2014-08-01,148.750000,150.000000,148.750000,150.000000,137.167496,1500
2014-09-01,150.000000,150.000000,150.000000,150.000000,137.167496,0
2014-10-01,150.000000,150.000000,150.000000,150.000000,137.167496,0
2014-11-01,150.000000,150.000000,150.000000,150.000000,137.167496,0
2014-12-01,150.000000,150.000000,150.000000,150.000000,137.167496,0
2015-01-01,150.000000,152.000000,150.000000,152.000000,138.996368,100
2015-02-01,152.000000,152.000000,152.000000,152.000000,138.996368,0
2015-03-01,152.000000,152.000000,152.000000,152.000000,138.996368,0
2015-04-01,152.000000,152.000000,152.000000,152.000000,138.996368,0
2015-05-01,152.000000,152.000000,152.000000,152.000000,138.996368,0
2015-06-01,152.000000,152.000000,152.000000,152.000000,138.996368,0
2015-07-01,152.000000,168.000000,152.000000,168.000000,153.627579,200
2015-08-01,168.000000,168.000000,168.000000,168.000000,155.359650,0
2015-09-01,168.000000,168.000000,168.000000,168.000000,155.359650,0
2015-10-01,168.000000,168.000000,168.000000,168.000000,155.359650,0
2015-11-01,168.000000,200.000000,168.000000,200.000000,184.951950,400
2015-12-01,200.000000,200.000000,200.000000,200.000000,184.951950,0
2016-01-01,200.000000,200.000000,200.000000,200.000000,184.951950,0
2016-02-01,200.000000,200.000000,200.000000,200.000000,184.951950,0
2016-03-01,200.000000,200.000000,200.000000,200.000000,184.951950,0
2016-04-01,200.000000,200.000000,200.000000,200.000000,184.951950,0
2016-05-01,200.000000,200.000000,200.000000,200.000000,184.951950,0
2016-06-01,200.000000,200.000000,200.000000,200.000000,184.951950,0
2016-07-01,200.000000,200.000000,200.000000,200.000000,184.951950,0
2016-08-01,200.000000,200.000000,200.000000,200.000000,187.429794,0
2016-09-01,200.000000,200.000000,200.000000,200.000000,187.429794,0
2016-10-01,200.000000,200.000000,200.000000,200.000000,187.429794,0
2016-11-01,200.000000,200.000000,200.000000,200.000000,187.429794,0
2016-12-01,200.000000,200.000000,200.000000,200.000000,187.429794,0
2017-01-01,200.000000,200.000000,200.000000,200.000000,187.429794,0
2017-02-01,200.000000,200.000000,200.000000,200.000000,187.429794,0
2017-03-01,200.000000,200.000000,200.000000,200.000000,187.429794,0
2017-04-01,200.000000,200.000000,165.000000,165.000000,154.629578,400
2017-05-01,165.000000,165.000000,165.000000,165.000000,154.629578,0
2017-06-01,165.000000,165.000000,165.000000,165.000000,154.629578,0
2017-07-01,165.000000,165.000000,165.000000,165.000000,154.629578,0
2017-08-01,165.000000,165.000000,165.000000,165.000000,157.032654,0
2017-09-01,165.000000,165.000000,165.000000,165.000000,157.032654,0
2017-10-01,165.000000,165.000000,165.000000,165.000000,157.032654,0
2017-11-01,165.000000,165.000000,165.000000,165.000000,157.032654,0
2017-12-01,165.000000,165.000000,165.000000,165.000000,157.032654,0
2018-01-01,165.000000,165.000000,165.000000,165.000000,157.032654,0
2018-02-01,165.000000,165.000000,165.000000,165.000000,157.032654,0
2018-03-01,165.000000,204.000000,165.000000,200.000000,190.342621,200
2018-04-01,200.000000,200.000000,200.000000,200.000000,190.342621,0
2018-05-01,200.000000,205.500000,200.000000,205.500000,195.577042,0
2018-06-01,205.500000,205.500000,205.500000,205.500000,195.577042,0
2018-07-01,205.500000,205.500000,202.500000,202.500000,192.721909,200
2018-08-01,202.500000,202.500000,202.500000,202.500000,198.798325,0
2018-09-01,202.500000,202.500000,202.500000,202.500000,198.798325,0
2018-10-01,202.500000,202.500000,202.500000,202.500000,198.798325,0
2018-11-01,202.500000,202.500000,202.500000,202.500000,198.798325,0
2018-12-01,202.500000,202.500000,202.500000,202.500000,198.798325,0
2019-01-01,202.500000,202.500000,190.500000,190.500000,187.017670,100
2019-02-01,190.500000,195.000000,190.500000,195.000000,191.435425,100
2019-03-01,195.000000,196.000000,195.000000,196.000000,192.417145,400
2019-04-01,196.000000,196.000000,196.000000,196.000000,192.417145,0
2019-05-01,196.000000,196.000000,196.000000,196.000000,192.417145,0
2019-06-01,196.000000,196.000000,196.000000,196.000000,192.417145,0
2019-07-01,207.550003,207.550003,207.550003,207.550003,203.756012,100
2019-08-01,207.550003,207.550003,207.550003,207.550003,207.550003,0
2019-09-01,207.550003,208.000000,207.550003,208.000000,208.000000,100
2019-10-01,208.000000,216.000000,208.000000,216.000000,216.000000,100
2019-11-01,216.000000,216.000000,216.000000,216.000000,216.000000,0
2019-12-01,216.000000,216.000000,216.000000,216.000000,216.000000,0
2020-01-01,216.000000,216.000000,216.000000,216.000000,216.000000,0
2020-02-01,216.000000,223.000000,216.000000,223.000000,223.000000,100
2020-03-01,223.000000,223.000000,204.000000,204.000000,204.000000,100
2020-04-01,204.000000,204.000000,204.000000,204.000000,204.000000,0
